,Gene names,Tissue,Pathway,CellularLocation,Enzymename,EnzymeType,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Substrate,Product,Cofactor,Inhibitor,ChebiID,pH,Temperature,KeggReactionID,ReactionEquation,KineticMechanismType
51899,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-homocysteine,0.0,1.5e-05,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51901,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,Enzyme,7.7e-07,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51903,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,S-Adenosyl-L-homocysteine,5.3e-06,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51905,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,WGGYSR(omega-N-monomethylarginine)GGYGGW,2.5e-05,0.0001,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51907,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,S-Adenosyl-L-homocysteine,8e-07,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51909,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-methionine,2e-05,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51911,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,S-Adenosyl-L-homocysteine,1.9e-06,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Competitive product inhibition
51913,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-methionine,1e-05,5e-05,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Competitive product inhibition
51915,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,WGGYSR(omega-N-monomethylarginine)GGYGGW,0.0001,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Competitive product inhibition
51917,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-homocysteine,0.0,1.5e-05,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Competitive product inhibition
51919,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,Enzyme,7.7e-07,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,33442;15414;16680,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Competitive product inhibition
51921,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",0.00024,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51923,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",0.0,0.0003,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51925,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-methionine,2e-05,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51927,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,Enzyme,7.7e-07,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51929,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,WGGYSR(omega-N-monomethylarginine)GGYGGW,2.5e-05,0.0001,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51931,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",0.0004,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW;S-Adenosyl-L-homocysteine",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51933,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-methionine,1e-05,5e-05,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51935,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,Enzyme,7.7e-07,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51937,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,WGGYSR(omega-N-monomethylarginine)GGYGGW,5e-05,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51939,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",0.00044,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51941,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",0.0,0.0003,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51943,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,"WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",0.00022,,-,M,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-methionine,"S-Adenosyl-L-homocysteine;WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",,,16680;33442;15414,8.0,37.0,,"S-Adenosyl-L-methionine + WGGYSR(omega-N-monomethylarginine)GGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(asymmetric omega-N,N-dimethylarginine)GGYGGW",Mixed product inhibition
51945,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-methionine,1e-05,5e-05,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-homocysteine,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Competitive product inhibition
51947,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,WGGYSRGGYGGW,7.5e-05,,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-homocysteine,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Competitive product inhibition
51949,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,S-Adenosyl-L-homocysteine,0.0,1.5e-05,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-homocysteine,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Competitive product inhibition
51951,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,concentration,Enzyme,7.7e-07,,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-homocysteine,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Competitive product inhibition
51953,PRMT6,-,,"[nucleus, nucleus, nucleus, nucleus, nucleus]",Methyltransferases,wildtype PRMT6 His6-tagged,Ki,S-Adenosyl-L-homocysteine,9.000000000000001e-07,,-,M,WGGYSRGGYGGW;S-Adenosyl-L-methionine,WGGYSR(omega-N-monomethylarginine)GGYGGW;S-Adenosyl-L-homocysteine,,,16680;33442;15414,8.0,37.0,,S-Adenosyl-L-methionine + WGGYSRGGYGGW = S-Adenosyl-L-homocysteine + WGGYSR(omega-N-monomethylarginine)GGYGGW,Competitive product inhibition
54649,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,NAD+;Acetyl-protein,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,44215;13389;15846;17154;null;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54652,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat/Km,Acetyl-protein,10000.0,,2200.0,M^(-1)*s^(-1),NAD+;Acetyl-protein,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,44215;13389;15846;17154;null;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54655,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,,,-,-,NAD+;Acetyl-protein,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,44215;13389;15846;17154;null;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54658,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,2.4e-05,,4.2E-6,M,NAD+;Acetyl-protein,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,44215;13389;15846;17154;null;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54661,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,0.24,,0.03,s^(-1),NAD+;Acetyl-protein,Nicotinamide;Protein;o-Acetyl-ADP-ribose,,,44215;13389;15846;17154;null;16541;36080,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54664,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54667,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,0.24,,0.03,s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54670,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat/Km,Acetyl-protein,1300.0,,130.0,M^(-1)*s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54673,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,9e-05,,1.5E-5,M,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54676,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,null;16541;36080;44215;13389;15846;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54679,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat/Km,Acetyl-protein,3600.0,,960.0,M^(-1)*s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54682,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,4.8e-05,,1.9E-5,M,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54685,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54688,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54691,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,0.24,,0.03,s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,17154;16541;36080;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54694,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,2.49e-05,,6.2E-6,M,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,16541;36080;17154;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54697,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Enzyme,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,16541;36080;17154;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54700,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,,,-,-,Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,16541;36080;17154;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54703,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat/Km,Acetyl-protein,7200.0,,1400.0,M^(-1)*s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,16541;36080;17154;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54706,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,0.24,,0.03,s^(-1),Acetyl-protein;NAD+,Protein;Nicotinamide;o-Acetyl-ADP-ribose,,,16541;36080;17154;null;44215;13389;15846,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54709,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,Km,Acetyl-protein,2.55e-05,,1.0E-6,M,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;null;16541;36080;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54712,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,concentration,Acetyl-protein,,,-,-,Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;null;16541;36080;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54715,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat/Km,Acetyl-protein,9400.0,,1200.0,M^(-1)*s^(-1),Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;null;16541;36080;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
54718,SIRT2,-,,"[unknown, unknown, unknown, unknown, unknown, unknown]",In linear amides,wildtype SIRT2,kcat,,0.24,,0.03,s^(-1),Acetyl-protein;NAD+,Nicotinamide;o-Acetyl-ADP-ribose;Protein,,,44215;13389;15846;null;16541;36080;17154,7.5,37.0,,NAD+ + Acetyl-protein = Nicotinamide + Protein + o-Acetyl-ADP-ribose,Michaelis-Menten
